timestamp (ms),stabilizer.roll,stabilizer.pitch,stabilizer.yaw,motor.m1,motor.m2,motor.m3,motor.m4
5139,0.0,0.0,0.0,0,0,0,0
5149,0.0,0.0,0.0,0,0,0,0
5159,0.0,0.0,0.0,0,0,0,0
5169,0.0,0.0,0.0,0,0,0,0
5179,0.0,0.0,0.0,0,0,0,0
5189,0.0,0.0,0.0,0,0,0,0
5199,0.0,0.0,0.0,0,0,0,0
5209,0.0,0.0,0.0,0,0,0,0
5219,0.0,0.0,0.0,0,0,0,0
5229,0.0,0.0,0.0,0,0,0,0
5239,0.0,0.0,0.0,0,0,0,0
5249,0.0,0.0,0.0,0,0,0,0
5259,0.0,0.0,0.0,0,0,0,0
5269,0.0,0.0,0.0,0,0,0,0
5279,0.0,0.0,0.0,0,0,0,0
5289,0.0,0.0,0.0,0,0,0,0
5299,0.0,0.0,0.0,0,0,0,0
5309,0.0,0.0,0.0,0,0,0,0
5319,0.0,0.0,0.0,0,0,0,0
5329,0.0,0.0,0.0,0,0,0,0
5339,0.0,0.0,0.0,0,0,0,0
5349,0.0,0.0,0.0,0,0,0,0
5359,0.0,0.0,0.0,0,0,0,0
5369,0.0,0.0,0.0,0,0,0,0
5379,0.0,0.0,0.0,0,0,0,0
5389,0.0,0.0,0.0,0,0,0,0
5399,0.0,0.0,0.0,0,0,0,0
5409,0.0,0.0,0.0,0,0,0,0
5419,0.0,0.0,0.0,0,0,0,0
5429,0.0,0.0,0.0,0,0,0,0
5439,0.0,0.0,0.0,0,0,0,0
5449,0.0,0.0,0.0,0,0,0,0
5459,0.0,0.0,0.0,0,0,0,0
5469,0.0,0.0,0.0,0,0,0,0
5479,0.0,0.0,0.0,0,0,0,0
5489,0.0,0.0,0.0,0,0,0,0
5499,0.0,0.0,0.0,0,0,0,0
5509,0.0,0.0,0.0,0,0,0,0
5519,0.0,0.0,0.0,0,0,0,0
5529,0.0,0.0,0.0,0,0,0,0
5539,0.0,0.0,0.0,0,0,0,0
5549,0.0,0.0,0.0,0,0,0,0
5559,0.0,0.0,0.0,0,0,0,0
5569,0.0,0.0,0.0,0,0,0,0
5579,0.0,0.0,0.0,0,0,0,0
5589,0.0,0.0,0.0,0,0,0,0
5599,0.0,0.0,0.0,0,0,0,0
5609,0.0,0.0,0.0,0,0,0,0
5619,0.0,0.0,0.0,0,0,0,0
5629,0.0,0.0,0.0,0,0,0,0
5639,0.0,0.0,0.0,0,0,0,0
5649,0.0,0.0,0.0,0,0,0,0
5659,0.0,0.0,0.0,0,0,0,0
5669,0.0,0.0,0.0,0,0,0,0
5679,0.0,0.0,0.0,0,0,0,0
5689,0.0,0.0,0.0,0,0,0,0
5699,0.0,0.0,0.0,0,0,0,0
5709,0.0,0.0,0.0,0,0,0,0
5719,0.0,0.0,0.0,0,0,0,0
5729,0.0,0.0,0.0,0,0,0,0
5739,0.0,0.0,0.0,0,0,0,0
5749,0.0,0.0,0.0,0,0,0,0
5759,0.0,0.0,0.0,0,0,0,0
5769,0.0,0.0,0.0,0,0,0,0
5779,0.0,0.0,0.0,0,0,0,0
5789,0.0,0.0,0.0,0,0,0,0
5799,0.0,0.0,0.0,0,0,0,0
5809,0.0,0.0,0.0,0,0,0,0
5819,0.0,0.0,0.0,0,0,0,0
5829,0.0,0.0,0.0,0,0,0,0
5839,0.0,0.0,0.0,0,0,0,0
5849,0.0,0.0,0.0,0,0,0,0
5859,0.0,0.0,0.0,0,0,0,0
5869,0.0,0.0,0.0,0,0,0,0
5879,0.0,0.0,0.0,0,0,0,0
5889,0.0,0.0,0.0,0,0,0,0
5899,0.0,0.0,0.0,0,0,0,0
5909,0.0,0.0,0.0,0,0,0,0
5919,0.0,0.0,0.0,0,0,0,0
5929,0.0,0.0,0.0,0,0,0,0
5939,0.0,0.0,0.0,0,0,0,0
5949,0.0,0.0,0.0,0,0,0,0
5959,0.0,0.0,0.0,0,0,0,0
5969,0.0,0.0,0.0,0,0,0,0
5979,0.0,0.0,0.0,0,0,0,0
5989,0.0,0.0,0.0,0,0,0,0
5999,0.0,0.0,0.0,0,0,0,0
6009,0.0,0.0,0.0,0,0,0,0
6019,0.0,0.0,0.0,0,0,0,0
6029,0.0,0.0,0.0,0,0,0,0
6039,0.0,0.0,0.0,0,0,0,0
6049,0.0,0.0,0.0,0,0,0,0
6059,0.0,0.0,0.0,0,0,0,0
6069,0.0,0.0,0.0,0,0,0,0
6079,0.0,0.0,0.0,0,0,0,0
6089,0.0,0.0,0.0,0,0,0,0
6099,0.0,0.0,0.0,0,0,0,0
6109,0.0,0.0,0.0,0,0,0,0
6119,0.0,0.0,0.0,0,0,0,0
6129,0.0,0.0,0.0,0,0,0,0
6139,0.0,0.0,0.0,0,0,0,0
6149,0.0,0.0,0.0,0,0,0,0
6159,0.0,0.0,0.0,0,0,0,0
6169,0.0,0.0,0.0,0,0,0,0
6179,0.0,0.0,0.0,0,0,0,0
6189,0.0,0.0,0.0,0,0,0,0
6199,0.0,0.0,0.0,0,0,0,0
6209,0.0,0.0,0.0,0,0,0,0
6219,0.0,0.0,0.0,0,0,0,0
6229,0.0,0.0,0.0,0,0,0,0
6239,0.0,0.0,0.0,0,0,0,0
6249,0.0,0.0,0.0,0,0,0,0
6259,0.0,0.0,0.0,0,0,0,0
6269,0.0,0.0,0.0,0,0,0,0
6279,0.0,0.0,0.0,0,0,0,0
6289,0.0,0.0,0.0,0,0,0,0
6299,0.0,0.0,0.0,0,0,0,0
6309,0.0,0.0,0.0,0,0,0,0
6319,0.0,0.0,0.0,0,0,0,0
6329,0.0,0.0,0.0,0,0,0,0
6339,0.0,0.0,0.0,0,0,0,0
6349,0.0,0.0,0.0,0,0,0,0
6359,0.0,0.0,0.0,0,0,0,0
6369,0.0,0.0,0.0,0,0,0,0
6379,0.0,0.0,0.0,0,0,0,0
6389,0.0,0.0,0.0,0,0,0,0
6399,0.0,0.0,0.0,0,0,0,0
6409,0.0,0.0,0.0,0,0,0,0
6419,0.0,0.0,0.0,0,0,0,0
6429,0.0,0.0,0.0,0,0,0,0
6439,0.0,0.0,0.0,0,0,0,0
6449,0.0,0.0,0.0,0,0,0,0
6459,0.0,0.0,0.0,0,0,0,0
6469,0.0,0.0,0.0,0,0,0,0
6479,0.0,0.0,0.0,0,0,0,0
6489,0.0,0.0,0.0,0,0,0,0
6499,0.0,0.0,0.0,0,0,0,0
