timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
15096,0.0,0.0,0.0,0.0,0.0,0.0
15106,0.0,0.0,0.0,0.0,0.0,0.0
15116,0.0,0.0,0.0,0.0,0.0,0.0
15126,0.0,0.0,0.0,0.0,0.0,0.0
15136,0.0,0.0,0.0,0.0,0.0,0.0
15146,0.0,0.0,0.0,0.0,0.0,0.0
15156,0.0,0.0,0.0,0.0,0.0,0.0
15166,0.0,0.0,0.0,0.0,0.0,0.0
15176,0.0,0.0,0.0,0.0,0.0,0.0
15186,0.0,0.0,0.0,0.0,0.0,0.0
15196,0.0,0.0,0.0,0.0,0.0,0.0
15206,0.0,0.0,0.0,0.0,0.0,0.0
15216,0.0,0.0,0.0,0.0,0.0,0.0
15226,0.0,0.0,0.0,0.0,0.0,0.0
15236,0.0,0.0,0.0,0.0,0.0,0.0
15246,0.0,0.0,0.0,0.0,0.0,0.0
15256,0.0,0.0,0.0,0.0,0.0,0.0
15266,0.0,0.0,0.0,0.0,0.0,0.0
15276,0.0,0.0,0.0,0.0,0.0,0.0
15286,0.0,0.0,0.0,0.0,0.0,0.0
15296,0.0,0.0,0.0,0.0,0.0,0.0
15306,0.0,0.0,0.0,0.0,0.0,0.0
15316,0.0,0.0,0.0,0.0,0.0,0.0
15326,0.0,0.0,0.0,0.0,0.0,0.0
15336,0.0,0.0,0.0,0.0,0.0,0.0
15346,0.0,0.0,0.0,0.0,0.0,0.0
15356,0.0,0.0,0.0,0.0,0.0,0.0
15366,0.0,0.0,0.0,0.0,0.0,0.0
15376,0.0,0.0,0.0,0.0,0.0,0.0
15386,0.0,0.0,0.0,0.0,0.0,0.0
15396,0.0,0.0,0.0,0.0,0.0,0.0
15406,0.0,0.0,0.0,0.0,0.0,0.0
15416,0.0,0.0,0.0,0.0,0.0,0.0
15426,0.0,0.0,0.0,0.0,0.0,0.0
15436,0.0,0.0,0.0,0.0,0.0,0.0
15446,0.0,0.0,0.0,0.0,0.0,0.0
15456,0.0,0.0,0.0,0.0,0.0,0.0
15466,0.0,0.0,0.0,0.0,0.0,0.0
15476,0.0,0.0,0.0,0.0,0.0,0.0
15486,0.0,0.0,0.0,0.0,0.0,0.0
15496,0.0,0.0,0.0,0.0,0.0,0.0
15506,0.0,0.0,0.0,0.0,0.0,0.0
15516,0.0,0.0,0.0,0.0,0.0,0.0
15526,0.0,0.0,0.0,0.0,0.0,0.0
15536,0.0,0.0,0.0,0.0,0.0,0.0
15546,0.0,0.0,0.0,0.0,0.0,0.0
15556,0.0,0.0,0.0,0.0,0.0,0.0
15566,0.0,0.0,0.0,0.0,0.0,0.0
15576,0.0,0.0,0.0,0.0,0.0,0.0
15586,0.0,0.0,0.0,0.0,0.0,0.0
15596,0.0,0.0,0.0,0.0,0.0,0.0
15606,0.0,0.0,0.0,0.0,0.0,0.0
15616,0.0,0.0,0.0,0.0,0.0,0.0
15626,0.0,0.0,0.0,0.0,0.0,0.0
15636,0.0,0.0,0.0,0.0,0.0,0.0
15646,0.0,0.0,0.0,0.0,0.0,0.0
15656,0.0,0.0,0.0,0.0,0.0,0.0
15666,0.0,0.0,0.0,0.0,0.0,0.0
15676,0.0,0.0,0.0,0.0,0.0,0.0
15686,0.0,0.0,0.0,0.0,0.0,0.0
15696,0.0,0.0,0.0,0.0,0.0,0.0
15706,0.0,0.0,0.0,0.0,0.0,0.0
15716,0.0,0.0,0.0,0.0,0.0,0.0
15726,0.0,0.0,0.0,0.0,0.0,0.0
15736,0.0,0.0,0.0,0.0,0.0,0.0
15746,0.0,0.0,0.0,0.0,0.0,0.0
15756,0.0,0.0,0.0,0.0,0.0,0.0
15766,0.0,0.0,0.0,0.0,0.0,0.0
15776,0.0,0.0,0.0,0.0,0.0,0.0
15786,0.0,0.0,0.0,0.0,0.0,0.0
15796,0.0,0.0,0.0,0.0,0.0,0.0
15806,0.0,0.0,0.0,0.0,0.0,0.0
15816,0.0,0.0,0.0,0.0,0.0,0.0
15826,0.0,0.0,0.0,0.0,0.0,0.0
15836,0.0,0.0,0.0,0.0,0.0,0.0
15846,0.0,0.0,0.0,0.0,0.0,0.0
15856,0.0,0.0,0.0,0.0,0.0,0.0
15866,0.0,0.0,0.0,0.0,0.0,0.0
15876,0.0,0.0,0.0,0.0,0.0,0.0
15886,0.0,0.0,0.0,0.0,0.0,0.0
15896,0.0,0.0,0.0,0.0,0.0,0.0
15906,0.0,0.0,0.0,0.0,0.0,0.0
15916,0.0,0.0,0.0,0.0,0.0,0.0
15926,0.0,0.0,0.0,0.0,0.0,0.0
15936,0.0,0.0,0.0,0.0,0.0,0.0
15946,0.0,0.0,0.0,0.0,0.0,0.0
15956,0.0,0.0,0.0,0.0,0.0,0.0
15966,0.0,0.0,0.0,0.0,0.0,0.0
15976,0.0,0.0,0.0,0.0,0.0,0.0
15986,0.0,0.0,0.0,0.0,0.0,0.0
15996,0.0,0.0,0.0,0.0,0.0,0.0
16006,0.0,0.0,0.0,0.0,0.0,0.0
16016,0.0,0.0,0.0,0.0,0.0,0.0
16026,0.0,0.0,0.0,0.0,0.0,0.0
16036,0.0,0.0,0.0,0.0,0.0,0.0
16046,0.0,0.0,0.0,0.0,0.0,0.0
16056,0.0,0.0,0.0,0.0,0.0,0.0
16066,0.0,0.0,0.0,0.0,0.0,0.0
16076,0.0,0.0,0.0,0.0,0.0,0.0
16086,0.0,0.0,0.0,0.0,0.0,0.0
16096,0.0,0.0,0.0,0.0,0.0,0.0
16106,0.0,0.0,0.0,0.0,0.0,0.0
16116,0.0,0.0,0.0,0.0,0.0,0.0
16126,0.0,0.0,0.0,0.0,0.0,0.0
16136,0.0,0.0,0.0,0.0,0.0,0.0
16146,0.0,0.0,0.0,0.0,0.0,0.0
16156,0.0,0.0,0.0,0.0,0.0,0.0
16166,0.0,0.0,0.0,0.0,0.0,0.0
16176,0.0,0.0,0.0,0.0,0.0,0.0
16186,0.0,0.0,0.0,0.0,0.0,0.0
16196,0.0,0.0,0.0,0.0,0.0,0.0
16206,0.0,0.0,0.0,0.0,0.0,0.0
16216,0.0,0.0,0.0,0.0,0.0,0.0
16226,0.0,0.0,0.0,0.0,0.0,0.0
16236,0.0,0.0,0.0,0.0,0.0,0.0
16246,0.0,0.0,0.0,0.0,0.0,0.0
16256,0.0,0.0,0.0,0.0,0.0,0.0
16266,0.0,0.0,0.0,0.0,0.0,0.0
16276,0.0,0.0,0.0,0.0,0.0,0.0
16286,0.0,0.0,0.0,0.0,0.0,0.0
16296,0.0,0.0,0.0,0.0,0.0,0.0
16306,0.0,0.0,0.0,0.0,0.0,0.0
16316,0.0,0.0,0.0,0.0,0.0,0.0
16326,0.0,0.0,0.0,0.0,0.0,0.0
16336,0.0,0.0,0.0,0.0,0.0,0.0
16346,0.0,0.0,0.0,0.0,0.0,0.0
16356,0.0,0.0,0.0,0.0,0.0,0.0
16366,0.0,0.0,0.0,0.0,0.0,0.0
16376,0.0,0.0,0.0,0.0,0.0,0.0
16386,0.0,0.0,0.0,0.0,0.0,0.0
16396,0.0,0.0,0.0,0.0,0.0,0.0
16406,0.0,0.0,0.0,0.0,0.0,0.0
16416,0.0,0.0,0.0,0.0,0.0,0.0
